"gene","padj","disease"
"ENSG00000030110","51.9904494","CHEBI_44185"
"ENSG00000113302","72.625345","CHEBI_44185"
"ENSG00000106025","67.881459","CHEBI_46195"
"ENSG00000143702","60.8293056","CHEBI_46195"
"ENSG00000169760","65.4623628","CHEBI_46195"
"ENSG00000169760","82.1005583","CHEBI_46195"
"ENSG00000112214","71.8983471","CHEBI_46195"
"ENSG00000112214","73.0202138","CHEBI_46195"
"ENSG00000105778","77.5586486","CHEBI_46195"
"ENSG00000112137","82.6622069","CHEBI_46195"
"ENSG00000145996","75.3451586","CHEBI_46195"
"ENSG00000145996","60.1202786","CHEBI_46195"
"ENSG00000123384","52.4284601","CHEBI_46195"
"ENSG00000123384","52.6299775","CHEBI_46195"
"ENSG00000116604","50.4479289","CHEBI_46195"
"ENSG00000115365","69.2291737","CHEBI_46195"
"ENSG00000144481","72.0580995","CHEBI_46195"
"ENSG00000144481","71.7661798","CHEBI_46195"
"ENSG00000104419","70.2270687","CHEBI_46195"
"ENSG00000014123","57.1152151","CHEBI_46195"
"ENSG00000109917","66.0867095","CHEBI_47612"
"ENSG00000109917","64.1704261","CHEBI_5001"
"ENSG00000112182","82.6984584","CHEBI_50885"
"ENSG00000112137","80.358839","CHEBI_5855"
"ENSG00000166888","54.0188909","CHEBI_5855"
"ENSG00000072952","74.2220521","CHEBI_5855"
"ENSG00000072952","63.4322524","CHEBI_5855"
"ENSG00000148737","90.0290966","CHEBI_5931"
"ENSG00000254647","71.6718435","CHEBI_5931"
"ENSG00000254647","74.2713571","CHEBI_5931"
"ENSG00000134242","53.4430683","CHEBI_5931"
"ENSG00000134242","54.7789454","CHEBI_5931"
"ENSG00000169169","65.1912212","CHEBI_5931"
"ENSG00000096433","72.967273","CHEBI_5931"
"ENSG00000096433","72.6466894","CHEBI_5931"
"ENSG00000145730","73.1522202","CHEBI_5931"
"ENSG00000108175","72.3521113","CHEBI_6801"
"ENSG00000136158","64.3263996","CHEBI_6801"
"ENSG00000118971","79.2050779","CHEBI_6801"
"ENSG00000153814","80.6336939","CHEBI_6801"
"ENSG00000132170","74.7821093","CHEBI_6801"
"ENSG00000140718","70.0945556","CHEBI_6801"
"ENSG00000182247","83.4279358","CHEBI_6801"
"ENSG00000145996","85.3560627","CHEBI_6801"
"ENSG00000148737","89.986825","CHEBI_6801"
"ENSG00000275410","69.767487","CHEBI_6801"
"ENSG00000152804","68.4278548","CHEBI_6801"
"ENSG00000147883","63.6311233","CHEBI_6801"
"ENSG00000147883","64.8637354","CHEBI_6801"
"ENSG00000149948","79.5931756","CHEBI_6801"
"ENSG00000164756","86.1459136","CHEBI_6801"
"ENSG00000134443","56.047982","CHEBI_6801"
"ENSG00000109501","71.0345268","CHEBI_6801"
"ENSG00000145730","69.5614219","CHEBI_6801"
"ENSG00000008196","84.8313391","CHEBI_6801"
"ENSG00000151465","56.4283252","CHEBI_6801"
"ENSG00000073792","75.0769436","CHEBI_6801"
"ENSG00000182511","71.700573","CHEBI_9150"
"ENSG00000175164","64.5696819","CHEBI_9150"
"ENSG00000171700","57.291019","CHEBI_9150"
"ENSG00000175445","69.8686182","CHEBI_9150"
"ENSG00000130164","65.6561434","CHEBI_9150"
"ENSG00000140718","68.9692497","CHEBI_9150"
"ENSG00000148737","81.2494218","CHEBI_9150"
"ENSG00000130203","68.2378709","CHEBI_9150"
"ENSG00000130203","54.965663","CHEBI_9150"
"ENSG00000156006","74.6054173","CHEBI_9150"
"ENSG00000125510","50.5636156","CHEBI_9150"
"ENSG00000176920","66.2321925","CHEBI_9150"
"ENSG00000164867","60.6500685","CHEBI_9150"
"ENSG00000147883","50.4313827","CHEBI_9150"
"ENSG00000084674","82.2205842","CHEBI_9150"
"ENSG00000167080","66.0416186","CHEBI_9150"
"ENSG00000169174","71.8019187","CHEBI_9150"
"ENSG00000169174","80.8300078","CHEBI_9150"
"ENSG00000143921","69.1239476","CHEBI_9150"
"ENSG00000173334","57.4368179","CHEBI_9150"
"ENSG00000198670","83.1701279","CHEBI_9150"
"ENSG00000198670","70.3902304","CHEBI_9150"
"ENSG00000087237","60.2188766","CHEBI_9150"
"ENSG00000107902","70.351094","EFO_0000094"
"ENSG00000107902","72.1073449","EFO_0000094"
"ENSG00000147889","70.374608","EFO_0000094"
"ENSG00000147889","66.5617585","EFO_0000094"
"ENSG00000185811","81.882751","EFO_0000094"
"ENSG00000185811","81.9209933","EFO_0000094"
"ENSG00000185811","81.8845451","EFO_0000094"
"ENSG00000185811","81.7277551","EFO_0000094"
"ENSG00000092067","50.2283096","EFO_0000094"
"ENSG00000150347","79.3263853","EFO_0000094"
"ENSG00000150347","68.0911601","EFO_0000094"
"ENSG00000111145","85.012114","EFO_0000094"
"ENSG00000107485","79.1510284","EFO_0000094"
"ENSG00000107485","81.2862635","EFO_0000094"
"ENSG00000107485","80.009532","EFO_0000094"
"ENSG00000107485","81.4255595","EFO_0000094"
"ENSG00000107485","81.3498855","EFO_0000094"
"ENSG00000140090","58.3641171","EFO_0000094"
"ENSG00000150867","73.8745272","EFO_0000094"
"ENSG00000150867","72.7349699","EFO_0000094"
"ENSG00000023171","71.2954223","EFO_0000095"
"ENSG00000023171","54.2697072","EFO_0000095"
"ENSG00000023171","71.8292236","EFO_0000095"
"ENSG00000023171","72.110635","EFO_0000095"
"ENSG00000023171","82.118547","EFO_0000095"
"ENSG00000030110","76.6553342","EFO_0000095"
"ENSG00000168038","62.8545165","EFO_0000095"
"ENSG00000116574","60.7522249","EFO_0000095"
"ENSG00000135899","50.0540674","EFO_0000095"
"ENSG00000135899","51.4240503","EFO_0000095"
"ENSG00000135899","51.2644887","EFO_0000095"
"ENSG00000212993","76.0104597","EFO_0000095"
"ENSG00000212993","73.7141967","EFO_0000095"
"ENSG00000212993","75.7082939","EFO_0000095"
"ENSG00000079263","53.5022497","EFO_0000095"
"ENSG00000079263","53.1829298","EFO_0000095"
"ENSG00000079263","53.6609709","EFO_0000095"
"ENSG00000079263","61.1312747","EFO_0000095"
"ENSG00000141682","80.1148176","EFO_0000095"
"ENSG00000140968","72.0426619","EFO_0000095"
"ENSG00000140968","88.6066318","EFO_0000095"
"ENSG00000140968","74.3566751","EFO_0000095"
"ENSG00000140968","87.0556533","EFO_0000095"
"ENSG00000137265","72.7815092","EFO_0000095"
"ENSG00000137265","73.6960292","EFO_0000095"
"ENSG00000137265","72.9430258","EFO_0000095"
"ENSG00000137265","71.735847","EFO_0000095"
"ENSG00000137265","74.7091115","EFO_0000095"
"ENSG00000137265","53.947717","EFO_0000095"
"ENSG00000137265","73.2391119","EFO_0000095"
"ENSG00000112038","86.3614023","EFO_0000095"
"ENSG00000112038","85.3869855","EFO_0000095"
"ENSG00000164362","83.3058655","EFO_0000095"
"ENSG00000026103","75.5517602","EFO_0000095"
"ENSG00000026103","75.4593611","EFO_0000095"
"ENSG00000026103","55.6229711","EFO_0000095"
"ENSG00000171791","68.5725868","EFO_0000095"
"ENSG00000171791","68.5260534","EFO_0000095"
"ENSG00000171791","68.5052752","EFO_0000095"
"ENSG00000158092","54.494828","EFO_0000095"
"ENSG00000179344","52.5938332","EFO_0000095"
"ENSG00000117318","70.3200698","EFO_0000095"
"ENSG00000124570","79.751128","EFO_0000095"
"ENSG00000153094","75.0258267","EFO_0000095"
"ENSG00000153094","74.4263053","EFO_0000095"
"ENSG00000153094","74.5049417","EFO_0000095"
"ENSG00000163508","77.4474978","EFO_0000095"
"ENSG00000163508","75.624007","EFO_0000095"
"ENSG00000163508","75.5015552","EFO_0000095"
"ENSG00000138795","64.089179","EFO_0000095"
"ENSG00000138795","64.8127496","EFO_0000095"
"ENSG00000164303","59.8734438","EFO_0000095"
"ENSG00000153064","80.7338417","EFO_0000095"
"ENSG00000074706","50.7153571","EFO_0000095"
"ENSG00000074706","50.6962419","EFO_0000095"
"ENSG00000145012","61.4527464","EFO_0000095"
"ENSG00000145349","73.6391485","EFO_0000095"
"ENSG00000145349","67.8333819","EFO_0000095"
"ENSG00000003400","56.889689","EFO_0000095"
"ENSG00000155087","78.4338593","EFO_0000095"
"ENSG00000006607","51.8318951","EFO_0000095"
"ENSG00000196735","55.6553066","EFO_0000095"
"ENSG00000176399","66.934371","EFO_0000095"
"ENSG00000176399","52.3034215","EFO_0000095"
"ENSG00000107796","52.5963366","EFO_0000095"
"ENSG00000104081","71.0257769","EFO_0000095"
