"ENSG","padj","gene"
"ENSG00000000003",NA,"TSPAN6"
"ENSG00000000005",NA,"TNMD"
"ENSG00000000419",NA,"DPM1"
"ENSG00000000457",NA,"SCYL3"
"ENSG00000000460",NA,"C1orf112"
"ENSG00000000938",NA,"FGR"
"ENSG00000000971",NA,"CFH"
"ENSG00000001036",NA,"FUCA2"
"ENSG00000001084",NA,"GCLC"
"ENSG00000001167",NA,"NFYA"
"ENSG00000001461",NA,"NIPAL3"
"ENSG00000001497",NA,"LAS1L"
"ENSG00000001561",NA,"ENPP4"
"ENSG00000001617",NA,"SEMA3F"
"ENSG00000001626",NA,"CFTR"
"ENSG00000001629",NA,"ANKIB1"
"ENSG00000001630",NA,"CYP51A1"
"ENSG00000001631",NA,"KRIT1"
"ENSG00000002016",NA,"RAD52"
"ENSG00000002079",NA,"MYH16"
"ENSG00000002330",NA,"BAD"
"ENSG00000002549",NA,"LAP3"
"ENSG00000002586",NA,"CD99"
"ENSG00000002587",NA,"HS3ST1"
"ENSG00000002726",NA,"AOC1"
"ENSG00000002745",NA,"WNT16"
"ENSG00000002746",NA,"HECW1"
"ENSG00000002822",NA,"MAD1L1"
"ENSG00000002834",NA,"LASP1"
"ENSG00000002919",NA,"SNX11"
"ENSG00000002933",NA,"TMEM176A"
"ENSG00000003056",NA,"M6PR"
"ENSG00000003096",NA,"KLHL13"
"ENSG00000003137",NA,"CYP26B1"
"ENSG00000003147",NA,"ICA1"
"ENSG00000003249",NA,"DBNDD1"
"ENSG00000003393",NA,"ALS2"
"ENSG00000003400",NA,"CASP10"
"ENSG00000003402",NA,"CFLAR"
"ENSG00000003436",NA,"TFPI"
"ENSG00000003509",NA,"NDUFAF7"
"ENSG00000003756",NA,"RBM5"
"ENSG00000003987",NA,"MTMR7"
"ENSG00000003989",NA,"SLC7A2"
"ENSG00000004059",NA,"ARF5"
"ENSG00000004139",NA,"SARM1"
"ENSG00000004142",NA,"POLDIP2"
"ENSG00000004399",NA,"PLXND1"
"ENSG00000004455",NA,"AK2"
"ENSG00000004468",NA,"CD38"
"ENSG00000004478",NA,"FKBP4"
"ENSG00000004487",NA,"KDM1A"
"ENSG00000004534",NA,"RBM6"
"ENSG00000004660",NA,"CAMKK1"
"ENSG00000004700",NA,"RECQL"
"ENSG00000004766",NA,"VPS50"
"ENSG00000004776",NA,"HSPB6"
"ENSG00000004777",NA,"ARHGAP33"
"ENSG00000004779",NA,"NDUFAB1"
"ENSG00000004799",NA,"PDK4"
"ENSG00000004809",NA,"SLC22A16"
"ENSG00000004838",NA,"ZMYND10"
"ENSG00000004846",NA,"ABCB5"
"ENSG00000004848",NA,"ARX"
"ENSG00000004864",NA,"SLC25A13"
"ENSG00000004866",NA,"ST7"
"ENSG00000004897",NA,"CDC27"
"ENSG00000004939",NA,"SLC4A1"
"ENSG00000004948",NA,"CALCR"
"ENSG00000004961",NA,"HCCS"
"ENSG00000004975",NA,"DVL2"
"ENSG00000005001",NA,"PRSS22"
"ENSG00000005007",NA,"UPF1"
"ENSG00000005020",NA,"SKAP2"
"ENSG00000005022",NA,"SLC25A5"
"ENSG00000005059",NA,"MCUB"
"ENSG00000005073",NA,"HOXA11"
"ENSG00000005075",NA,"POLR2J"
"ENSG00000005100",NA,"DHX33"
"ENSG00000005102",NA,"MEOX1"
"ENSG00000005108",NA,"THSD7A"
"ENSG00000005156",NA,"LIG3"
"ENSG00000005175",NA,"RPAP3"
"ENSG00000005187",NA,"ACSM3"
"ENSG00000005189",NA,"REXO5"
"ENSG00000005194",NA,"CIAPIN1"
"ENSG00000005206",NA,"SPPL2B"
"ENSG00000005238",NA,"FAM214B"
"ENSG00000005243",NA,"COPZ2"
"ENSG00000005249",NA,"PRKAR2B"
"ENSG00000005302",NA,"MSL3"
"ENSG00000005339",NA,"CREBBP"
"ENSG00000005379",NA,"TSPOAP1"
"ENSG00000005381",NA,"MPO"
"ENSG00000005421",NA,"PON1"
"ENSG00000005436",NA,"GCFC2"
"ENSG00000005448",NA,"WDR54"
"ENSG00000005469",NA,"CROT"
"ENSG00000005471",NA,"ABCB4"
"ENSG00000005483",NA,"KMT2E"
"ENSG00000005486",NA,"RHBDD2"
"ENSG00000005513",NA,"SOX8"
"ENSG00000005700",NA,"IBTK"
"ENSG00000005801",NA,"ZNF195"
"ENSG00000005810",NA,"MYCBP2"
"ENSG00000005812",NA,"FBXL3"
"ENSG00000005844",NA,"ITGAL"
"ENSG00000005882",NA,"PDK2"
"ENSG00000005884",NA,"ITGA3"
"ENSG00000005889",NA,"ZFX"
"ENSG00000005893",NA,"LAMP2"
"ENSG00000005961",NA,"ITGA2B"
"ENSG00000005981",NA,"ASB4"
"ENSG00000006007",NA,"GDE1"
"ENSG00000006015",NA,"REX1BD"
"ENSG00000006016",NA,"CRLF1"
"ENSG00000006025",NA,"AC003665.1"
"ENSG00000006042",NA,"TMEM98"
"ENSG00000006047",NA,"YBX2"
"ENSG00000006059",NA,"KRT33A"
"ENSG00000006062",NA,"MAP3K14"
"ENSG00000006071",NA,"ABCC8"
"ENSG00000006116",NA,"CACNG3"
"ENSG00000006118",NA,"TMEM132A"
"ENSG00000006125",NA,"AP2B1"
"ENSG00000006128",NA,"TAC1"
"ENSG00000006194",NA,"ZNF263"
"ENSG00000006210",NA,"CX3CL1"
"ENSG00000006282",NA,"SPATA20"
"ENSG00000006283",NA,"CACNA1G"
"ENSG00000006327",NA,"TNFRSF12A"
"ENSG00000006377",NA,"DLX6"
"ENSG00000006432",NA,"MAP3K9"
"ENSG00000006451",NA,"RALA"
"ENSG00000006453",NA,"BAIAP2L1"
"ENSG00000006459",NA,"KDM7A"
"ENSG00000006468",NA,"ETV1"
"ENSG00000006530",NA,"AGK"
"ENSG00000006534",NA,"ALDH3B1"
"ENSG00000006576",NA,"PHTF2"
"ENSG00000006606",NA,"CCL26"
"ENSG00000006607",NA,"FARP2"
"ENSG00000006611",NA,"USH1C"
"ENSG00000006625",NA,"GGCT"
"ENSG00000006634",NA,"DBF4"
"ENSG00000006638",NA,"TBXA2R"
"ENSG00000006652",NA,"IFRD1"
"ENSG00000006659",NA,"LGALS14"
"ENSG00000006695",NA,"COX10"
"ENSG00000006704",NA,"GTF2IRD1"
"ENSG00000006712",NA,"PAF1"
"ENSG00000006715",NA,"VPS41"
"ENSG00000006740",NA,"ARHGAP44"
"ENSG00000006744",NA,"ELAC2"
"ENSG00000006747",NA,"SCIN"
"ENSG00000006756",NA,"ARSD"
"ENSG00000006757",NA,"PNPLA4"
"ENSG00000006788",NA,"MYH13"
"ENSG00000006831",NA,"ADIPOR2"
"ENSG00000006837",NA,"CDKL3"
"ENSG00000007001",NA,"UPP2"
"ENSG00000007038",NA,"PRSS21"
"ENSG00000007047",NA,"MARK4"
"ENSG00000007062",NA,"PROM1"
"ENSG00000007080",NA,"CCDC124"
"ENSG00000007168",NA,"PAFAH1B1"
"ENSG00000007171",NA,"NOS2"
"ENSG00000007174",NA,"DNAH9"
"ENSG00000007216",NA,"SLC13A2"
"ENSG00000007237",NA,"GAS7"
"ENSG00000007255",NA,"TRAPPC6A"
"ENSG00000007264",NA,"MATK"
"ENSG00000007306",NA,"CEACAM7"
"ENSG00000007312",NA,"CD79B"
"ENSG00000007314",NA,"SCN4A"
"ENSG00000007350",NA,"TKTL1"
"ENSG00000007372",NA,"PAX6"
"ENSG00000007376",NA,"RPUSD1"
"ENSG00000007384",NA,"RHBDF1"
"ENSG00000007392",NA,"LUC7L"
"ENSG00000007402",NA,"CACNA2D2"
"ENSG00000007516",NA,"BAIAP3"
"ENSG00000007520",NA,"TSR3"
"ENSG00000007541",NA,"PIGQ"
"ENSG00000007545",NA,"CRAMP1"
"ENSG00000007866",NA,"TEAD3"
"ENSG00000007908",NA,"SELE"
"ENSG00000007923",NA,"DNAJC11"
"ENSG00000007933",NA,"FMO3"
"ENSG00000007944",NA,"MYLIP"
"ENSG00000007952",NA,"NOX1"
"ENSG00000007968",NA,"E2F2"
"ENSG00000008018",NA,"PSMB1"
"ENSG00000008056",NA,"SYN1"
"ENSG00000008083",NA,"JARID2"
"ENSG00000008086",NA,"CDKL5"
"ENSG00000008118",NA,"CAMK1G"
